,degree
On Lisans Derecesi,1
Intro to Self-Driving Cars Nanodegree Program,1
Bachelor of Economics-BE,1
"92,00",1
"4,53",1
Science Faculty,1
79 /100,1
3.97 / 4,1
"3,64 / 4",1
BA in Finance,1
Associated,1
Bachelor's degree(Minor),1
2nd Place,1
"87,68",1
İlkögretim,1
Higher National Diploma,1
Profilo Anadolu Teknik Lisesi,1
4.54,1
Elektronik Mühendisliği,1
93.352,1
3.09/4,1
Yuksel lisans,1
MSc Degree,1
"72,65",1
college of science,1
Müh,1
Junior High School Diploma,1
"Bachelor's Degree, Materials Science and Engineering, 3.33/4",1
93.75,1
Electronical Enginner,1
77.05 / 80,1
School Of Foreign Languages,1
Sayisal Alan,1
Front-end Web Development Certification,1
bilişim,1
Bachelor's degree (I did not finish it),1
CEIT,1
Linux Yaz Kampı,1
CCNA R&S and Security,1
3.14 / 4,1
4.5 / 5,1
Computer Enginer,1
Anatolian vocational high school,1
Yönetim Bilişim Sistemleri - Uzaktan Eğitim - Devam Ediyor....,1
Açık Öğretim Fakültesi - Önlisans,1
Cerrahpaşa Hasan Ali Yücel Eğitim Fakültesi,1
Okul Üçüncülüğü,1
84.60,1
--------------,1
MYO mezunu,1
86.98,1
Özgür Yazılım Kış Kampı,1
FEN FAKÜLTESİ ,1
"Computer Engineering, Bulgaria",1
Software,1
abandoned,1
Muhasebeci,1
3. ile,1
1. ile,1
Scientific Bacaloriate,1
Collage,1
%100 Burslu,1
Vocational Industrial Secondary Education Certificate (high school),1
4.85/5,1
pedagojik formasyon,1
Bachelor's degree - Exchange Student,1
69.51,1
Executive Diploma,1
Veteriner Fakultesi Mezunu,1
Yabancılara Türkçe Kursu,1
iletişim fakültesi,1
4.22,1
"3,19",1
3.02/4,1
Faculty of Literature,1
ISO9001 Baş Denetçi,1
Junior Technical College,1
"2,86/4",1
"2,3/4",1
Siyasal Bilgiler  Fakültesi,1
Bachelor of Science (B.Sc.Eng),1
Doctor’s  Degree in Medical Sciences,1
Açıköğretim lisans,1
Exchange term,1
English Literature,1
Istanbul Technical Univercity,1
Bilgisayar Mühendisi Adayı,1
82.2,1
Database Programming,1
95.19/100,1
"2,90/4",1
Bachelor's degree > 3.75 /4.0,1
3.22 / 4,1
4.27 / 5,1
Gold Sertifika,1
Ön Lisans (MYÖ),1
2. 83,1
4.03,1
Faculty Of Open Education,1
Edirne Vocational School of Technical Sciences,1
3.74/4(GPA),1
Lojistik,1
High Scool,1
3.32/4,1
Niksar Meslek Yüksek Okulu,1
Fen fakültesi mezunu,1
2.61/4.00,1
66/100,1
Keşan Yusuf Çapraz Uygulamalı Bilimler Yüksekokulu,1
Bussines Department,1
"3,35/4",1
69/100,1
BCS,1
"4,11",1
Öğretmen,1
"4,53/5",1
Senior Year Student,1
İşletme Bilgi Yönetimi,1
Sanat Tarihi,1
Tunca Meslek Yüksek Okulu,1
Bilgisayar Teknolojisi ve Bilişim Sistemleri Mezunu / Bilgisayar Bilimci,1
"88,25 / 100",1
Associate degree distance learning,1
Engineering and Architecture Faculty,1
Electronics Technician,1
"3,07/4",1
Computer Scientist,1
70.84,1
Edirne M.Y.O,1
Graduate School of Business Administration,1
Keşan Yusuf Çaprazlı Uygulamalı Bilimler Yüksekokulu,1
"92,25",1
"82,5",1
başarılı öğrenci,1
4. Sınıf Öğrencisi,1
Turizm ve Otel İşletmeciliği Ön Lisans Mezunu,1
iktisad fakültesi,1
4.17,1
Engineering and Architecture,1
Yönetim Bilişim Sistemleri(MIS),1
Maths and science,1
Fen Fakültesi İngilizce Matematik Bölümü Mezunu,1
3.33 / 4,1
73.8 / 100,1
4.24,1
Online Training,1
3.09/4.00,1
"3,00 / 4,00",1
"4/3,5",1
5/4.1,1
iOS Developer Nanodegree ,1
4.64,1
Mühendislik Mimarlık Fakultesi,1
"94,0",1
Hukuk Fakültesi,1
Fen  fakültesi,1
Preparatory Class/Hazırlık sınıfı,1
Bachelor Of Arts,1
Maths & Natural Sciences,1
bachelor of business administration and economics sciences,1
"3,93 / 4,00",1
"4,92",1
Online,1
ÖNLİSANS ,1
Open Education Faculty Bachelor's Degree,1
Computer Programming and Technologies,1
High-school Graduate,1
"4,70",1
"2,81",1
Tunca MYO Mezunu,1
Web Tasarım ve Programcılığı Mezunu,1
Lisans Derecesi-  3.76/4 ,1
Exchange Programme,1
Full Stack Web Developer Certification,1
2.76/4,1
"""Engineer""",1
"""Mühendislik Fakültesi""",1
Bachelor’s Degrees,1
Associate Degrees,1
English  Language Education Certificate,1
Software Expertise Training Certificate,1
Mühenndislik Fakültesi,1
Lisans (Açıköğretim),1
2.17,1
Maritime Faculty,1
Eşit Ağırlık,1
Bachelor's degre,1
Lise Eğitimi,1
"3,32/4",1
International Language School,1
Data Science with Python and R,1
BSc. In Dept. of Computer Engineering,1
Yatay geçiş,1
Computer Hardware,1
Health Officer,1
MCSE,1
Mezun Değilim,1
Orta seviye,1
Ön lisans-Erasmus,1
 undergraduate,1
Fourth Grade Student ,1
High School 80/100,1
BS Engineering Faculty,1
"3,96/4,00",1
English Education,1
4.47,1
Kimya Müh.,1
6.5,1
D,1
Graduation ,1
LICENSE,1
Orman Mühendisliği,1
88.24,1
Gerede Vocational School,1
 High School,1
Bachelor's degree completion,1
college,1
BilişimTeknolojileri,1
İşletme Yüksek Lisans Programı / MBA,1
Computer Programs,1
Higher School Certificate,1
"82,29",1
Meslek yüksek okulu bilgisayar programcılığı mezunu,1
Sosyoloji,1
"92,07",1
İnternet Programcılığı ve Ağ Teknolojileri,1
Master of Business Management - (MBA),1
100/78,1
Visual Communication Design,1
lisans Öğrecisi,1
Elektronik ve Haberleşme Müh.,1
İktisadi Ve İdari Bİlimler Fakültesi,1
MESLEK YÜKSEKOKULU,1
Master of Science in Computer Engineering,1
Bilgisayar ve Bilişim Yüksek Okulu,1
Bachelor's Degree 3.30/4,1
Associate Degree 3.90/4,1
London,1
Masters Course,1
Bachelor of Engineering (%100 B.Eng.),1
İşletme Mühendisliği,1
Fatih Eğitim Fakültesi Mezunu,1
1st Place,1
Fen Bilimler Ensitüsü,1
Bilgisayar Mühendisliği Yüksek Lisans,1
Bachelor of Science  (B. Sc. – Undergraduate),1
AnadoluTeknik,1
Eğitim Fakültesi Terk,1
Denizli Teknik Bilimler Meslek Yüksekokulu,1
Lisans (Diploma: 3.01),1
4.48,1
"Lisans Derecesi, Bölüm Birincisi",1
Faculty of engineering and architecture,1
4.54/5.00,1
Web Tasarım Ve Programlama Mezunu,1
Fen Lisesi Mezunu,1
Computer Engineering (B. Sc),1
B2 Upper Intermediate level,1
Elektrik elektronik muhendisi,1
2.8/4.0,1
Foundation Degree,1
"4,56",1
2. sırada bitirdi.,1
2.29,1
Bilgisayar muhendisliği,1
Valedictorian,1
4.71,1
Bilgisayar Mühendisliği Bölümü,1
İstatistik ve Bilgisayar Bilimleri,1
Bölüm 3. lüğü,1
"Lisans Derecesi (2,68/4)",1
2.39,1
Advanced (C1-C2),1
acikogretim fakultesi,1
2.67/4.0,1
Lise Öğretimi,1
Score: 89 out of 100 at proficiency final exam. Forth place taken of out +500 students.,1
Technical Lycee,1
M,1
Bilgisayar  Mühendisliği ,1
ZİRAAT FAKULTESI,1
linsans,1
Bilg. Programlama ve Teknolojileri,1
"85,44",1
Yazılım Mühendisliği Mezun,1
30,1
UpperIntermediate,1
Advanced ,1
"Lisans, Açıköğretim",1
Bachelor of Engineering - Computer Engineering,1
bilinmiyor,1
Anatolian High School Graduate,1
Tezsiz Yüksek Lisans,1
Burslu,1
Associate of Applied Science (ASS),1
Fundamentals of Image and Video Processing,1
Electronic & Computer Teacher,1
"YG, Lisans Derecesi",1
"-Windows Form Applications, MSSQL, XML",1
Java Certificate and Algorithms,1
Java Web Teknolojileri Eğitmeni,1
B.SE.,1
Teknoloji fakültesi,1
81 (BA),1
ilköğretim,1
Faculty Of Technology,1
Front End Web Development Certification,1
"2,37",1
Bölüm birincisi /3.69,1
Mathematic Science,1
Yüksek Lisans (Master’s degree),1
74.18,1
"Lisans Derecesi,Hazırlık(İng)",1
Önlisa,1
Web Programlama,1
Teknoloji Fakültesi Yazılım Mühendisliği,1
High School Graduation,1
yok ,1
 License Degree,1
Bölüm birincisi/3.89,1
Mechatronics.eng,1
Graduated as 2nd rank,1
Graduate of Engineering Faculty,1
Master of Social Sciences,1
Master's ,1
Technology Fakulty,1
teknoloji fakültesi,1
Lisans Derecesi: 2.90,1
Yazılım mühendisliği,1
Network Management technician,1
4.97/5,1
University of Bielsko-Biała,1
"Bachelor's degree , Lisans",1
Advanced Degree,1
Turkce language,1
"3,34",1
Jeoloji mühendisliği,1
"Engineer's degree,",1
Bachelor of Technical Education,1
teknik bilimler,1
Teknik Lise - Teknisyen,1
"76,4",1
Web Tasarim,1
درجة البكالوريوس ,1
IELTS/TOEFL,1
Nitelikli Bilişim Uzmani Yetiştirme Program  800 saat,1
80.2,1
Master of Management Information Systems,1
Teknik Meslek Lisesi,1
Bachelor of Science (B.Sc.)Mechanical Engineering,1
Master of Science (M.Sc.) Mechanical Engineering,1
MMF,1
2.47,1
Licance ,1
On Lisans,1
"2012-2013 Eğitim Öğretim Yılı Sınıf Birinciliği,2013-2014 Egitim Öğretim Yılı Sınıf Birinciliği",1
"3,10 / 4",1
Suspended,1
Veri tabani Prog,1
Doktora ( PHD ),1
Bilgisayar Mühendisliği Mezunu.,1
Chemical Enginner (5 years degree),1
Bachelor (Left),1
lisasn,1
Faculty of fine arts,1
Ön Lisans Mezunu,1
"3,21/4",1
Faculty of Economic and Social Sciences,1
Yüksek Lisans Öğrencisi,1
"Institute of Science and Technology, Master's Degree",1
"Faculty of Engineering and Architecture, Bachelor's Degree",1
MYO Mezunu,1
yuksek onur,1
Post.Doc.,1
License degree,1
86 / 100,1
"Yazılım Kulübü, Adli Bilişim Kulübü",1
Departmant of Information Technologies,1
"Major, Gano: 3.32",1
"Honor Student / Double Major, Gano: 3.0",1
Ziya Gökalp Lisesi,1
Yüksek Lisans Tezli (Master),1
3.15 / 4,1
Dönem Birinciliği,1
Master of Social Work (M.S.W.),1
Lisans Derecesi ( Mühendislik Fakültesi ),1
computer programmer,1
"3,8/5,0",1
"3,5/5,0",1
2.57/4.00,1
Mühensilik Fakültesi,1
"3,75/5",1
"3,74",1
Faculty of engineering,1
" Full Scholarship, Lisance",1
Çift Anadal/Double Major,1
3.52 - Lisans Derecesi,1
"2,15",1
Informatics and Control Systems,1
MÜHENDİSLİK MİMARLIK FAK.,1
Primary and Middle School,1
International Baccalaurate Diploma Programme ,1
Foreign Trade Proficiency Certificate,1
A-levels,1
O-levels,1
IAL,1
Master of Science (MSc) without thesis,1
Bachelor's degree (Left without graduation to study at Bilkent University),1
Doctor of Philosophy - PhD  (Dropout),1
A levels ,1
Bachelor of Applied Science - (BASc) ,1
Bachelor of Applied Science - B.A.Sc.,1
Graduate Certificate,1
Bachelor of Engineering - B.Eng.,1
ShARE's leadership program of Excellence,1
Yüksek Lisans (Tezsiz) ,1
"Bachelor of Science(BSc), Computer Enginnering",1
INTENSIVE A-Levels,1
"Last year of MYP, First year of IB",1
"Kindergarden, Primary school, Secondary School, first year of high school IGCSE",1
Bachelor's of Science (BSc),1
GCE A levels ,1
"5th place, 96 graduates",1
FrontEnd Web Developer Nanodegree,1
Erasmus Student Exchange,1
B. Sc,1
Summer Exchange,1
Exchange Study,1
"Ayazağa Işık High School, 77.5\100",1
3rd level (A2.2),1
GPA: 3.23,1
Graduate From Science College,1
Graduated with the 2nd,1
Elementary School Degree,1
Baccalaureat,1
Certificate in Disruptive Strategy,1
Executive Master of Business Administration - MBA,1
Summer Term,1
American Diploma,1
Ontario Graduate Certificate Program,1
PhD.  in Computer Science and Engineering,1
Master of Science in Computer Science (MSCS),1
Master’s Degree(Board and Trusties Scholarship),1
Science Student,1
Master of Engineering - Mechanical,1
Summer School ,1
Türkçe-Matematik öğrencisi,1
High School of Science Degree,1
4.80/5.00,1
High School American Diploma,1
Uygulamalı Teknoloji ve İşletmecilik Yüksek Okulu,1
T.B.M.Y.O,1
Postgrad,1
"Computer Science, BS",1
Bigisayar Mühendisliği,1
Master of Science  (M.Sc.) with Thesis,1
"BSc in Computer Science, 3.48/4.00 (CGPA)",1
"Diploma, Mathematics and Sciences",1
Lise Mezun,1
"Master of Science, CGPA: 3.86/4.00",1
"Bachelor of Science, CGPA: 3.46/4.00",1
Master of Fine Arts - MFA,1
Math-Science,1
Bilkent University Honor Certificate,1
Faculty of Humanities and Letters ,1
Bachelor of Arts (BA) (Double Major),1
Bilgisayar Teknolojisii ve Bilişim Sistemleri,1
Bilgisayar Teknolojisi ve Bilişim Sistemleri,1
Master of Business Administration (eMBA),1
Master's Non-Thesis,1
Senior Student,1
ERASMUS Student,1
Business Analytics Specialization,1
Convolutional Neural Networks for Visual Recognition (CS231n),1
Machine Learning,1
CTP,1
Master of Science (M.Sc) - dropped due to financial reasons,1
Master of Science (MSc-dropped),1
Master's degree Lectures,1
94.68/100,1
Undergrate at Computer  Science,1
3.39 (84.75/100😉),1
CTP mezunu,1
Middle School & High School Diplomas,1
DBA,1
"FACULTY OF ECONOMICS, ADMINISTRATIVE AND SOCIAL SCIENCES",1
IB,1
"Minor, Not Completed",1
Uluslararası Bakalorya (IB),1
Introduction to Computer Science(online),1
Bachelor in Science,1
High-school diploma,1
Intro to programming,1
A'levels,1
O'levels,1
Summer School Certificate,1
Bachelor of Sicence,1
Certificate of Computer Graphics,1
Computer Technologies and Information Systems,1
Banking and Finance,1
BSc (Hons) in Software Design with Cloud Computing,1
MBA in Technology & Innovation Management (Minor),1
PhD (not completed),1
Stanford CS-Bridge Program,1
3.07/4.00,1
Elementery - Intermediate kursu,1
"High school, Honor student of the school",1
Middelbare Onderwijs,1
Information and Communications Technologies,1
"3,52",1
department change,1
65.59,1
Technician Graduate,1
"4,72 / 5",1
5 / 5,1
2.66/4.00,1
Bilgisayar ve Kontrol Öğretmeni,1
Hazırlık+4yıl,1
3.39 / 4,1
2.93 / 4,1
"4,68/5",1
"2,52/4,00",1
"2,47/4,00",1
73/100,1
"4,17/5,00",1
Fen edebiyat,1
2022,1
Intemediate - Upper Intermediate kursu,1
"73,45",1
"Graduated, 3rd Ranking in Department",1
Pre Bachelor,1
Çalışma Ekonomisi,1
93.98 / 100,1
B2.2,1
Upper Secondary Education,1
"2,69",1
Bilgisayar Yazılım Mezunu,1
Doctor of Computer Engineering - PhD,1
English Upper-Intermediate certificate,1
"Bachelor's degree, Erasmus programme",1
Bachelor of Mechatronics Engineering,1
83.08,1
2017,1
Lisans Derecesi - Erasmus,1
Computer Science & Engineering,1
"93,27",1
Dönem 3.sü,1
Bachelor of Arts (B.A),1
Open-University (Associate),1
Lisans Derecesi (3.36),1
Diploma in Mathematics,1
GCE certificate,1
Marmara Üniversitesi,1
2020,1
işletme ,1
Licenciate,1
Vancouver şehrinde 4 ay boyunca dil eğitimi aldım.,1
Teknik Bilimler Meslek Yüksekokulu Mezunu,1
Teknik Bilimler MY,1
"4,29",1
Pedagogic formation,1
92 puan,1
Banking,1
Teknik Eğitim Fk,1
Professional School,1
Atatürk Eğitim Fakültesi - Bilgisayar Öğretim Teknolojileri Eğitimi Bölümü Mezunu,1
Bilişim Teknolojileri Alanı Mezunu,1
83.3/100,1
45,1
"Bachelor's degree, 3.64/4.00",1
CSE,1
(Master),1
 Bachelor Degree,1
Doctor of Pharmacy - PharmD,1
Proficiency in Art,1
International Honors Program,1
Modular MBA - Technology and Innovation,1
Bachelor of Science (BS / BSc),1
Post Graduate Certificate Program,1
Bachelor's degree (3.06) ,1
Undergraduate Education ,1
2.Üniversite,1
3+,1
Musician Teacher,1
yüksekokul,1
Advanced Level (C1),1
Elektrik Öğretmenliği,1
Dropped Out From Third Grade,1
Technician's Degree,1
Computer Science Engineer,1
2004,1
Bilgisiyar Öğretim Teknolojileri ve Eğitimi Bölümü Mezunu,1
Atatürk Eğitim Fakültesi BÖTE Bölümü,1
istinye,1
Yüksek Lisans (Master) Öğrencisi,1
İ.İ.B.F,1
"74,32",1
91.46,1
Bankacılık Sigortacılık Enstitüsü,1
Fen Edebiyat fakültesi,1
Bachelor of Applied Sciences - BAS,1
Bachelor of Applied Technology - BATech,1
Master's Degree (Non-thesis),1
Undergraduate (B.Sc.) Program,1
iktisat Fakültesi,1
Introduction to Scouting in Football,1
"Bachelor of Science - B.Sc. , 3.11/4",1
İlkokul-Lise,1
Myo,1
Physics,1
LİCENSE,1
57,1
69.72,1
teknoloji fakultesi,1
"74,99",1
Teknik Programlar Mezunu,1
Bahcelor’s degree,1
HAZIRLIK,1
Bilgisayar programcılığı mezunu,1
Erasmus Exchange Student Programme,1
Bilgi,1
Master of Science -MS,1
Ön Lisanas,1
"3,3/4",1
65/100,1
"2,2",1
Önlisans AÖF,1
Software Engineer Öğrencisi,1
Bilgisayar Programlama Mezun,1
Yazılım Uzmanı - Teknik Öğretmen,1
Sosyal Bilimler ,1
web tasarım ve programlama,1
4.5/5.0,1
Fen Lisesi Sınavı ,1
Erasmus Eğitim Programı,1
İngilizce Hazırlık Eğitimi,1
2.83/4,1
"80,8",1
3.08/4,1
Frontend Nanodegree,1
Industrial Control Technician,1
Polytechnic,1
Bechelor's Degree,1
High school first,1
3.7 / 4.00,1
60.14/100,1
Anadolu Lisesi Fen Bilimleri Mezunu,1
Enformatik Tezli Yüksek Lisans,1
Network Engineer,1
3.79,1
Foreign Languages Faculty,1
Açık öğretim Fakültesi,1
Merkez Meslek Yüksek Okulu,1
2.33 / 4.00,1
sertifika ,1
Anadolu meslek lisesi mezunu,1
2.97 / 4.0,1
Beginner,1
makine,1
Bachelor Degree in Computer Science,1
Web ve Grafik Tasarım,1
Bachelor's degree / Erasmus Program,1
Proje Öğrencisi,1
Two Semesters Erasmus Education,1
Nuke Online Course,1
student ,1
Interior Architecture,1
Graphic Design,1
Bachelor's of,1
3.61 (Bölüm 2.liği),1
American High School Diploma,1
Bachelor's degree (Minor),1
B.Sc. in Mechatronics Engineering,1
Üstün Başarı Setifikasyonu,1
4.77/5.00,1
Alaplı Meslek Yüksekokullu,1
denizcilik,1
Minor Program in Business Informatics,1
Sınıf Okulu,1
Bilecik Üniversitesi,1
Passed All Courses,1
"3,73 / 5",1
Fen Edebiyat  Fakültesi,1
Java Script Algorithms,1
School 3rd degree,1
Müh.Mim.Fak.,1
Elektronik ve haberleşme mühendisliği,1
Keçiborlu Meslek Yüksek Okulu,1
Bachelor of Computer Technologies and Programming,1
MF Mezunu,1
Faculty of Information Technology and Engineering,1
Lisans (Erasmus),1
Orman Fakültesi,1
Düziçi Meslek Yüksekokulu,1
"93,15 (Master Degree)",1
Present,1
Bachelor of Science With Honours,1
"Master of Laws (LLM), Information & Technology Law",1
52.95,1
İşletme Yüksek Lisans Mezun,1
Elektronik&Haberleşme Mühendisliği Mezun,1
Süleyman Demirel Üniversitesi,1
eşit ağırlık mezunu,1
"3,16/4",1
Web Uzmanı,1
4.44,1
3.39/4.0,1
  ,1
71.02,1
Master Practicioner,1
Foundation,1
Bachelor of Engineering (B.Sc.),1
"2,85/4,00",1
Exchange program,1
"86,9/100",1
Flight Test Engineer,1
BSc. Electronics&Communication Engineering,1
MBA - Production Management & Marketing,1
ESL english prep class student in NewYork/USA,1
Bachelor of Science | BS,1
Specialist | Engineer's Degree,1
Niğde Fen Lisesi 2011 Mezunu,1
"3.88 / 4 - Master of Science (MS), Applied Informatics",1
İngilizce Hazırlık Sınıfı,1
Advanced Level Of English,1
LAL Language Centres,1
Lisans Derecesi (Bachelor’s Degree),1
Middleschool,1
Erasmus+ Student Exchange Program,1
Master of Science (MSc)-Solid Mechanics,1
Control and Automation Engineering,1
Master of Science (M.Sc.) ,1
"4,7",1
Junior Software Developer,1
"3,00/4,00",1
Undergraduate academic degree ,1
Visiting Ph.D. Researcher,1
Artificial Intelligence Nanodegree,1
Graduated valedictorian.,1
Fen L,1
Top Student of 2010-2014 Graduates,1
Front End Web Development Bootcamp ,1
Lİse,1
left,1
4.2/5,1
İTÜ Bilgi İşlem Daire Başkanlığı,1
Hayrabolu MYO,1
2.83/4.00,1
Matematik Mühendisliği Programı mezunu,1
Ceritificate of Software Engineering,1
Master of Engineering and Business (M.Eng.),1
Sciences Graduated,1
Galatasaray Lisesi Mezunu,1
First Class Honour (6th),1
First Class Honour,1
Brighton - United Kingdom,1
Geomatics Engineer,1
2.48/4.00,1
Elektronik Fakültesi,1
Elektrik Bölümü,1
Bilgisayar/Bilişim Fakültesi,1
Faculty of Literal And Science,1
Accelerate Executive Insight Program for Oracle,1
Teknik Meslek Yüksekokulu,1
Mathematics Department,1
first grade,1
1.7,1
Bachelor of Science (BS) and Msc,1
"2,76/4.00",1
"86,65/100",1
2012 top scoring student,1
"Cadet, BEng",1
Pilot,1
Electronics Engineer,1
Environmental Engineering,1
70.46 / 100,1
4.36 / 5.00,1
Honor List,1
Tekstil Teknolojileri ve Tasarımı Fakültesi Mezunu,1
6 th place,1
Exchange Student at Iwamoto Manaka Lab,1
Certificate of Merit,1
"3,5/4",1
2.64 / 4.00,1
Kontrol Mühendisliği,1
ACTP - Accredited Coach Training Program,1
Maden Fakültesi Mezunu,1
"Bachelor’s Degree, Electrical Engineering, GPA: 3.02 /4.00",1
"99,11/100",1
"Mathmatical Major, Graduated with Honors",1
Transfer to ITU,1
E-MBA,1
3.50 / 4.00,1
"3,30 / 4.00",1
4.63 / 5.00,1
"3,29 / 4,0",1
Doctor of Philosophy (Ph.D.)(leave of absence),1
High Honors Student (100/100),1
9.8/10,1
B. Sc. Electronics Engineering,1
Computing Design in Architecture,1
Textile Engineering,1
Bachelor's .Degree,1
Bachelor of Science 3.43/4.00,1
iktisat fakultesi,1
"2,58/4",1
3.49/4.00,1
Bachelor’s Degree with honor,1
ERASMUS+ Exchange Student,1
4.17 / 5.00,1
''BS'',1
B. Eng,1
Honor Student and 3rd of the department,1
L.L.M,1
L.L.B,1
Mesleki Eğitim,1
Erasmus (Spring Semester),1
Erasmus (Fall Semester),1
2.54,1
3.34/4   ,1
Bachelor's level ,1
Bachelor's level,1
ELEKTRİK-ELEKTRONİK FAKÜLTESİ,1
81.38,1
Bilgi Teknolojileri YL,1
High school Degree,1
Junior Yazılım Geliştirme Uzmanı,1
Preparatory year,1
still student,1
Postgraduate Certificate,1
Kimya - Metalurji Fakültesi,1
"4,54",1
Science faculty graduate,1
"3,91",1
"Bachelor of Science (B.Sc.), Computer Engineering",1
ph.D.,1
Bachelor of Sciense (BS),1
Elektronik ve Haberleşme Mühendisliği Yüksek Lisans,1
Bachelor Science (B.Sc.),1
İnşaat fakültesi,1
Financial Analysis ,1
Control And Automation Engineering,1
Dil Eğitimi,1
Kimya Metalurji Fakultesi,1
4.35/5,1
GPA 3.10,1
3.37/4.00 Bachelor's degree,1
82.47/100,1
Enerji makineleri ve otomotiv branşı mezunuyum,1
Okul İkincisi,1
98.05/100,1
Fen Bilimleri (Yüksek Lisans),1
Faculty of Mechanical,1
Kimya- Metalurji Fakültesi,1
H.M.M.Bileydi Anatolian High School,1
2.54 / 4.00,1
"86,5",1
"Lise, High/Secondary School",1
Bachelor of Science (BSc-Eng),1
ogrenci,1
İSG Uzmanı C Sınıfı,1
Electronic and Telecommunication Engineer,1
Lisans(Terk),1
90 ortalama,1
makina fakültesi mezunu,1
Nitelikli Bilişim Uzmanı Yetiştirme Programı,1
Bachelor's Level,1
3.43/4,1
4.41/5.00,1
2.71/4,1
HG,1
Uygulamali teknoloji ve isletmecilik yuksek okulu,1
Bachelor's degree at Physic,1
İnşaat Fakültesi Mezunu,1
Elektrik-Elektronik Fakultesi,1
B.sc,1
"2,80/4",1
78.8,1
Bölüm 7.si(7/112),1
3.86/4.00,1
Yıldız Technical University,1
Bachelor of Science (BSc) (3.06 honored student),1
Bachelor of Science (BSc) (3.16 honored student),1
3.80/4,1
3.31/4,1
Porsuk Meslek Yüksek Okulu,1
Kimya-Metalurji Fakültesi Öğrencisi,1
"""Fen Lisesi Mezunu""",1
Chartered Institute of Marketing Cetification Program,1
"Master of Science - M.Sc. , 3.83/4",1
3.24/4.00,1
Bachelor ,1
Bachelor of Mechanical Engineering,1
Bilgisayar Mühendisligi,1
senior,1
"Bachelor degree 2,79/4",1
71/100,1
"Bachelor's degree , 3,62 , High Honour Student",1
Upper Intermadiate,1
Yıldız Teknik Üniversitesi Kimya Yüksek Mühendisliği,1
"4,80",1
"Hazırlık, Yabancı Diller Yüksekokulu",1
Nano Degree Master Program,1
Endüstri & Sistem Mühendisligi,1
Becholar of Science,1
91.59/100,1
"73,83",1
Electrical engineering,1
ASc,1
2.73/4,1
Fen- Matematik,1
Yüksek Lisans / Master's Degree,1
Lisans / Bachelor's Degree,1
MBA (Master Degree) ,1
Bussines,1
Lisans mezunu,1
Bachelor of Sciense,1
bachelor of science,1
Cloud Developer,1
3.65 / 4.00,1
Physicist,1
4.38,1
BSc. Degree,1
Bilgisayar ve Öğretim Teknolojileri Eğitimi ,1
Graduated as 3rd best student,1
Graduated as 1st best student,1
Mimarlık Fakültesi mezunu,1
elektronik ve haberlesme muhendisligi,1
Kimya ve metalorji fakültesi,1
Kimya Metalürji Fakültesi,1
Bachelor Degree - Erasmus ,1
MAKİNE,1
iktisadi ve idari bilimler fak.,1
Elektrik/Elektronik Fakültesi,1
WASSCE,1
Bachelor's Degree (Erasmus),1
AI Programming with Python Nanodegree,1
4.51 / 5.00,1
Graduate degree,1
Okul Başkanlığı,1
İstatistik Bölümü Mezunu,1
75 / 100,1
Bilgisayar Programlama Programı,1
Bachelor of Science of Electric&Electronic Engineering,1
3.3/4.0,1
Summer Course,1
Preparation Class,1
3.26 / 4.00,1
Information technology and communication,1
Bachelor’s Degree (Transfer),1
Photography,1
Sertifka Programı Mezunu,1
Master of Computer Engineering - MSc,1
Science and mathematics,1
Marketing Summer School,1
UNIVERSITY,1
CORe: Credential of Readiness,1
1st.,1
Science and Mathematics,1
Bechelor,1
2.59-4,1
"4,39-5",1
endüstriyel elektronik,1
English Prep.,1
Erasmus - Metallurgical and Material Engineering,1
Matematik Lisans,1
4.68/5,1
"69,54",1
2.8 / 4,1
NVQ in Management,1
"3,0/4",1
Askeri Lise,1
Kimya Metalurji Fakultesi mezunu,1
Bilgisayar Mühendisi Mezun,1
2.4 / 4,1
İktisadi ve İdari bilimler Fakültesi,1
Bachelor's Degree - Faculty of Engineering,1
Yalova Üniversitesi Endüstri Mühendisliği Bölüm 3.'lüğü,1
Meslek Yüksek Okulu Teknik Programlar Bölümü,1
2.7/4,1
Faculty of Electric and Electronic,1
Anadolu Teknik Mezunu,1
fen edebiyat,1
"4,8/5",1
İngilizce kursu,1
Bachelor’s degree,1
90.38,1
Master of Science - MSc Student,1
Language ,1
Electric and Electronic Engineering ,1
Bachelor's Degree (B. Sc),1
Farabı Exchange Program,1
4.10,1
Advanced English (C1),1
"3,14/4,00",1
Kadir Has Üniversitesi Onur Bursu,1
Second degree,1
Electric-Electronic Faculty ,1
Bilgisayar Müh mezunu,1
Okul birincisi (top of the school),1
Fen mezunu,1
4 sınıf,1
Öğretmen Lisesi Mazunu,1
Matematik mühendisliği mezunu,1
Ön lisanas,1
Kimya-Metalurji Fakultesi,1
7.8,1
Kimya-metalurji fakültesi,1
Robotics,1
317,1
Prep class,1
Kimya Metalurji Fakültesi Mezunu,1
Primary and Elementary School,1
Bilgisayar Mühendisiliği,1
Erasmus Student Exchange Prog.,1
Political Science and International Relations Expert,1
College Student,1
92.45,1
43,1
"Master's degree,  Game and Interaction Technologies Master Program",1
8/250,1
ORMAN FAKÜLTESİ,1
Elektronik Mühendisliği Mezunu,1
Lise okul birinciliği ile kazandım.,1
83.26/100 PUAN,1
İletişim Fakültesi ,1
lisans derecesi,1
